gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp
gml/Aarnet.gml,19,24,1,3,False,False,False,3,0,0.359,0,SAT,False,4.27,4.23,0.03,99,101584,99.2,2026-07-05T17:00:36
gml/Abilene.gml,11,14,1,3,False,False,False,3,0,0.359,-9,TIMEOUT,True,30.038,,,,,,2026-07-05T17:00:40
gml/Abvt.gml,23,31,1,3,False,False,False,3,0,0.364,0,SAT,False,0.704,0.69,0.0,99,54500,53.22,2026-07-05T17:01:11
gml/Aconet.gml,23,31,1,3,False,False,False,3,0,0.358,0,SAT,False,0.085,0.07,0.0,98,46172,45.09,2026-07-05T17:01:12
gml/Agis.gml,25,30,1,3,False,False,False,3,0,0.36,0,SAT,False,0.064,0.05,0.01,98,47172,46.07,2026-07-05T17:01:12
gml/Ai3.gml,10,9,1,3,False,False,False,3,0,0.355,0,SAT,False,0.05,0.03,0.01,100,38016,37.12,2026-07-05T17:01:13
gml/Airtel.gml,16,37,1,3,False,False,False,3,0,0.361,0,SAT,False,0.04,0.03,0.0,97,40396,39.45,2026-07-05T17:01:13
gml/Amres.gml,25,24,1,3,False,False,False,3,0,0.366,0,SAT,False,0.13,0.12,0.0,100,59340,57.95,2026-07-05T17:01:13
gml/Ans.gml,18,25,1,3,False,False,False,3,0,0.366,0,SAT,False,0.057,0.05,0.0,98,44676,43.63,2026-07-05T17:01:14
gml/Arn.gml,30,29,1,3,False,False,False,3,0,0.372,0,SAT,False,0.119,0.1,0.01,99,58156,56.79,2026-07-05T17:01:14
gml/Arnes.gml,34,47,1,3,False,False,False,3,0,0.368,0,SAT,False,0.648,0.63,0.01,99,73560,71.84,2026-07-05T17:01:15
gml/Arpanet196912.gml,4,4,1,3,False,False,False,3,0,0.363,0,SAT,False,0.013,0.0,0.0,90,34452,33.64,2026-07-05T17:01:16
gml/Arpanet19706.gml,9,10,1,3,False,False,False,3,0,0.363,0,SAT,False,0.015,0.01,0.0,100,35036,34.21,2026-07-05T17:01:16
gml/Arpanet19719.gml,18,22,1,3,False,False,False,3,0,0.369,0,SAT,False,0.18,0.16,0.01,99,43500,42.48,2026-07-05T17:01:17
gml/Arpanet19723.gml,25,28,1,3,False,False,False,3,0,0.386,0,SAT,False,0.089,0.07,0.01,98,51924,50.71,2026-07-05T17:01:17
gml/Arpanet19728.gml,29,32,1,3,False,False,False,3,0,0.364,0,SAT,False,0.147,0.12,0.01,99,62080,60.62,2026-07-05T17:01:18
gml/AsnetAm.gml,65,79,1,3,False,False,False,3,0,0.383,0,SAT,False,27.712,27.61,0.09,99,294332,287.43,2026-07-05T17:01:18
gml/Atmnet.gml,21,22,1,3,False,False,False,3,0,0.364,0,SAT,False,0.063,0.04,0.01,100,44244,43.21,2026-07-05T17:01:46
gml/AttMpls.gml,25,57,1,3,False,False,False,3,0,0.364,0,SAT,False,0.087,0.07,0.01,100,52664,51.43,2026-07-05T17:01:47
gml/Azrena.gml,22,25,1,3,False,False,False,3,0,0.36,0,SAT,False,0.057,0.04,0.0,98,47052,45.95,2026-07-05T17:01:47
gml/BackboneSerbiaMontenegro.gml,6,6,1,3,False,False,False,3,0,0.356,0,SAT,False,0.017,0.01,0.0,87,35012,34.19,2026-07-05T17:01:48
gml/Bandcon.gml,22,28,1,3,False,False,False,3,0,0.363,0,SAT,False,0.065,0.05,0.0,96,46632,45.54,2026-07-05T17:01:48
gml/Basnet.gml,7,6,1,3,False,False,False,3,0,0.358,0,SAT,False,0.034,0.02,0.0,100,35748,34.91,2026-07-05T17:01:48
gml/Bbnplanet.gml,27,28,1,3,False,False,False,3,0,0.361,0,SAT,False,0.128,0.12,0.0,98,58632,57.26,2026-07-05T17:01:49
gml/Bellcanada.gml,48,65,1,3,False,False,False,3,0,0.373,0,SAT,False,0.754,0.72,0.02,100,127044,124.07,2026-07-05T17:01:49
gml/Bellsouth.gml,51,66,1,3,False,False,False,3,0,0.376,0,SAT,False,0.482,0.45,0.02,99,88880,86.8,2026-07-05T17:01:50
gml/Belnet.gml,22,33,1,3,False,False,False,3,0,0.365,0,SAT,False,0.056,0.04,0.0,100,46376,45.29,2026-07-05T17:01:51
gml/Belnet2003.gml,23,43,1,3,False,False,False,3,0,0.358,0,SAT,False,0.193,0.19,0.0,100,47724,46.61,2026-07-05T17:01:52
gml/Belnet2004.gml,23,43,1,3,False,False,False,3,0,0.359,0,SAT,False,0.194,0.18,0.0,100,47844,46.72,2026-07-05T17:01:52
gml/Belnet2005.gml,23,44,1,3,False,False,False,3,0,0.36,0,SAT,False,0.286,0.27,0.0,100,54032,52.77,2026-07-05T17:01:53
gml/Belnet2006.gml,23,44,1,3,False,False,False,3,0,0.359,0,SAT,False,0.283,0.26,0.01,99,53968,52.7,2026-07-05T17:01:53
gml/Belnet2007.gml,21,31,1,3,False,False,False,3,0,0.366,0,SAT,False,0.071,0.05,0.01,100,46620,45.53,2026-07-05T17:01:54
gml/Belnet2008.gml,21,31,1,3,False,False,False,3,0,0.36,0,SAT,False,0.071,0.05,0.01,100,46488,45.4,2026-07-05T17:01:55
gml/Belnet2009.gml,21,31,1,3,False,False,False,3,0,0.37,0,SAT,False,0.056,0.05,0.0,100,48240,47.11,2026-07-05T17:01:55
gml/Belnet2010.gml,22,32,1,3,False,False,False,3,0,0.358,0,SAT,False,0.058,0.04,0.0,98,46392,45.3,2026-07-05T17:01:55
gml/BeyondTheNetwork.gml,53,65,1,3,False,False,False,3,0,0.371,-9,TIMEOUT,True,30.037,,,,,,2026-07-05T17:01:56
gml/Bics.gml,33,48,1,3,False,False,False,3,0,0.38,0,SAT,False,0.402,0.37,0.02,100,63120,61.64,2026-07-05T17:02:26
gml/Biznet.gml,29,33,1,3,False,False,False,3,0,0.364,0,SAT,False,0.136,0.12,0.0,100,61552,60.11,2026-07-05T17:02:27
gml/Bren.gml,37,38,1,3,False,False,False,3,0,0.378,-9,TIMEOUT,True,30.039,,,,,,2026-07-05T17:02:27
gml/BsonetEurope.gml,18,24,1,3,False,False,False,3,0,0.36,0,SAT,False,0.051,0.04,0.0,100,43480,42.46,2026-07-05T17:02:58
gml/BtAsiaPac.gml,20,31,1,3,False,False,False,3,0,0.366,0,SAT,False,0.054,0.04,0.01,100,45692,44.62,2026-07-05T17:02:58
gml/BtEurope.gml,24,37,1,3,False,False,False,3,0,0.373,0,SAT,False,0.125,0.11,0.01,98,50172,49.0,2026-07-05T17:02:59
gml/BtLatinAmerica.gml,51,50,1,3,False,False,False,3,0,0.377,-9,TIMEOUT,True,30.04,,,,,,2026-07-05T17:02:59
