gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp
gml/BtAsiaPac.gml,20,31,1,3,False,True,False,3,0,0.364,0,SAT,False,0.103,0.09,0.0,100,49876,48.71,2026-07-05T17:56:42
gml/BtEurope.gml,24,37,1,3,False,True,False,3,0,0.365,0,SAT,False,0.085,0.06,0.01,98,49276,48.12,2026-07-05T17:56:42
gml/BtLatinAmerica.gml,51,50,1,3,False,True,False,3,0,0.378,-9,TIMEOUT,True,30.029,,,,,,2026-07-05T17:56:43
gml/BtNorthAmerica.gml,36,76,1,3,False,True,False,3,0,0.374,0,SAT,False,2.16,2.1,0.05,99,191376,186.89,2026-07-05T17:57:13
gml/Canerie.gml,32,41,1,3,False,True,False,3,0,0.424,0,SAT,False,10.462,10.4,0.05,99,126756,123.79,2026-07-05T17:57:16
gml/Carnet.gml,44,43,1,3,False,True,False,3,0,0.395,0,SAT,False,0.483,0.44,0.03,100,94720,92.5,2026-07-05T17:57:27
gml/Cernet.gml,41,59,1,3,False,True,False,3,0,0.396,0,SAT,False,0.414,0.38,0.02,99,98372,96.07,2026-07-05T17:57:27
gml/Cesnet1993.gml,10,9,1,3,False,True,False,3,0,0.37,0,SAT,False,0.048,0.04,0.0,97,37904,37.02,2026-07-05T17:57:28
gml/Cesnet1997.gml,13,12,1,3,False,True,False,3,0,0.37,0,SAT,False,0.03,0.02,0.0,96,37220,36.35,2026-07-05T17:57:29
gml/Cesnet1999.gml,13,12,1,3,False,True,False,3,0,0.368,0,SAT,False,0.053,0.04,0.0,98,39840,38.91,2026-07-05T17:57:29
gml/Cesnet2.gml,30,42,1,3,False,True,False,3,0,0.38,0,SAT,False,0.177,0.16,0.01,99,64028,62.53,2026-07-05T17:57:29
gml/Cesnet2001.gml,23,23,1,3,False,True,False,3,0,0.369,0,SAT,False,0.152,0.13,0.01,99,55196,53.9,2026-07-05T17:57:30
gml/Cesnet200304.gml,29,33,1,3,False,True,False,3,0,0.378,0,SAT,False,0.148,0.12,0.01,99,60240,58.83,2026-07-05T17:57:31
