gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp,num_repeats
gml/Aarnet.gml,19,24,1,1,False,False,False,3,0,0.392,0,SAT,False,0.03,0.013,0.007,96.0,42436.0,41.44,2026-07-09T20:21:31,3
gml/Abilene.gml,11,14,1,1,False,False,False,3,0,0.38,0,SAT,False,0.014,0.003,0.0,100.0,34538.667,33.727,2026-07-09T20:21:32,3
gml/Abvt.gml,23,31,1,1,False,False,False,3,0,0.384,0,SAT,False,0.045,0.023,0.01,97.0,46098.667,45.02,2026-07-09T20:21:34,3
gml/Aconet.gml,23,31,1,1,False,False,False,3,0,0.393,0,SAT,False,0.052,0.033,0.007,99.333,42904.0,41.9,2026-07-09T20:21:35,3
gml/Agis.gml,25,30,1,1,False,False,False,3,0,0.395,0,SAT,False,0.049,0.03,0.007,100.0,43956.0,42.923,2026-07-09T20:21:36,3
gml/Ai3.gml,10,9,1,1,False,False,False,3,0,0.394,0,SAT,False,0.017,0.007,0.0,97.667,34934.667,34.113,2026-07-09T20:21:38,3
gml/Airtel.gml,16,37,1,1,False,False,False,3,0,0.402,0,SAT,False,0.03,0.013,0.0,96.0,40010.667,39.073,2026-07-09T20:21:39,3
gml/Amres.gml,25,24,1,1,False,False,False,3,0,0.399,0,SAT,False,0.08,0.057,0.01,99.333,50656.0,49.47,2026-07-09T20:21:40,3
gml/Ans.gml,18,25,1,1,False,False,False,3,0,0.4,0,SAT,False,0.023,0.01,0.0,98.333,38098.667,37.203,2026-07-09T20:21:42,3
gml/Arn.gml,30,29,1,1,False,False,False,3,0,0.395,0,SAT,False,0.071,0.05,0.01,98.667,53473.333,52.223,2026-07-09T20:21:43,3
gml/Arnes.gml,34,47,1,1,False,False,False,3,0,0.395,0,SAT,False,0.147,0.13,0.007,99.0,56416.0,55.093,2026-07-09T20:21:44,3
gml/Arpanet196912.gml,4,4,1,1,False,False,False,3,0,0.38,0,SAT,False,0.013,0.003,0.0,96.667,34194.667,33.39,2026-07-09T20:21:46,3
gml/Arpanet19706.gml,9,10,1,1,False,False,False,3,0,0.38,0,SAT,False,0.012,0.0,0.003,90.0,34336.0,33.53,2026-07-09T20:21:47,3
gml/Arpanet19719.gml,18,22,1,1,False,False,False,3,0,0.397,0,SAT,False,0.039,0.03,0.0,99.0,40009.333,39.073,2026-07-09T20:21:48,3
gml/Arpanet19723.gml,25,28,1,1,False,False,False,3,0,0.379,0,SAT,False,0.053,0.037,0.007,99.333,45209.333,44.15,2026-07-09T20:21:49,3
gml/Arpanet19728.gml,29,32,1,1,False,False,False,3,0,0.401,0,SAT,False,0.067,0.047,0.007,99.333,49928.0,48.76,2026-07-09T20:21:51,3
gml/AsnetAm.gml,65,79,1,1,False,False,False,3,0,0.405,0,SAT,False,0.668,0.607,0.05,99.667,157900.0,154.197,2026-07-09T20:21:52,3
gml/Atmnet.gml,21,22,1,1,False,False,False,3,0,0.406,0,SAT,False,0.047,0.03,0.007,99.0,42916.0,41.91,2026-07-09T20:21:55,3
gml/AttMpls.gml,25,57,1,1,False,False,False,3,0,0.399,0,SAT,False,0.074,0.057,0.007,99.333,51828.0,50.61,2026-07-09T20:21:57,3
gml/Azrena.gml,22,25,1,1,False,False,False,3,0,0.402,0,SAT,False,0.042,0.03,0.003,98.0,46914.667,45.813,2026-07-09T20:21:58,3
gml/BackboneSerbiaMontenegro.gml,6,6,1,1,False,False,False,3,0,0.388,0,SAT,False,0.011,0.0,0.0,92.667,33957.333,33.16,2026-07-09T20:22:00,3
gml/Bandcon.gml,22,28,1,1,False,False,False,3,0,0.383,0,SAT,False,0.042,0.033,0.0,99.0,40736.0,39.78,2026-07-09T20:22:01,3
gml/Basnet.gml,7,6,1,1,False,False,False,3,0,0.388,0,SAT,False,0.012,0.0,0.003,96.667,34001.333,33.207,2026-07-09T20:22:02,3
gml/Bbnplanet.gml,27,28,1,1,False,False,False,3,0,0.386,0,SAT,False,0.058,0.04,0.007,99.333,51781.333,50.57,2026-07-09T20:22:03,3
gml/Bellcanada.gml,48,65,1,1,False,False,False,3,0,0.39,0,SAT,False,0.387,0.347,0.03,99.667,123796.0,120.893,2026-07-09T20:22:05,3
gml/Bellsouth.gml,51,66,1,1,False,False,False,3,0,0.393,0,SAT,False,0.271,0.237,0.02,99.333,85310.667,83.31,2026-07-09T20:22:07,3
gml/Belnet.gml,22,33,1,1,False,False,False,3,0,0.382,0,SAT,False,0.035,0.02,0.007,100.0,43412.0,42.393,2026-07-09T20:22:09,3
gml/Belnet2003.gml,23,43,1,1,False,False,False,3,0,0.399,0,SAT,False,0.049,0.033,0.007,99.0,44632.0,43.583,2026-07-09T20:22:10,3
gml/Belnet2004.gml,23,43,1,1,False,False,False,3,0,0.377,0,SAT,False,0.05,0.03,0.01,98.0,44680.0,43.633,2026-07-09T20:22:11,3
gml/Belnet2005.gml,23,44,1,1,False,False,False,3,0,0.396,0,SAT,False,0.051,0.037,0.003,99.333,44561.333,43.517,2026-07-09T20:22:13,3
gml/Belnet2006.gml,23,44,1,1,False,False,False,3,0,0.372,0,SAT,False,0.051,0.037,0.003,99.333,44729.333,43.68,2026-07-09T20:22:14,3
gml/Belnet2007.gml,21,31,1,1,False,False,False,3,0,0.386,0,SAT,False,0.049,0.033,0.003,97.0,45734.667,44.663,2026-07-09T20:22:15,3
gml/Belnet2008.gml,21,31,1,1,False,False,False,3,0,0.376,0,SAT,False,0.051,0.033,0.007,99.0,45640.0,44.57,2026-07-09T20:22:17,3
gml/Belnet2009.gml,21,31,1,1,False,False,False,3,0,0.392,0,SAT,False,0.025,0.01,0.003,96.667,39925.333,38.993,2026-07-09T20:22:18,3
gml/Belnet2010.gml,22,32,1,1,False,False,False,3,0,0.389,0,SAT,False,0.04,0.023,0.003,98.0,45174.667,44.113,2026-07-09T20:22:19,3
gml/BeyondTheNetwork.gml,53,65,1,1,False,False,False,3,0,0.394,0,SAT,False,0.328,0.3,0.02,99.667,100165.333,97.817,2026-07-09T20:22:20,3
gml/Bics.gml,33,48,1,1,False,False,False,3,0,0.376,0,SAT,False,0.137,0.12,0.01,99.0,62104.0,60.65,2026-07-09T20:22:23,3
gml/Biznet.gml,29,33,1,1,False,False,False,3,0,0.394,0,SAT,False,0.072,0.06,0.0,98.667,54021.333,52.753,2026-07-09T20:22:24,3
gml/Bren.gml,37,38,1,1,False,False,False,3,0,0.397,0,SAT,False,0.158,0.14,0.01,99.333,68056.0,66.463,2026-07-09T20:22:26,3
gml/BsonetEurope.gml,18,24,1,1,False,False,False,3,0,0.382,0,SAT,False,0.037,0.023,0.007,98.0,38524.0,37.62,2026-07-09T20:22:27,3
gml/BtAsiaPac.gml,20,31,1,1,False,False,False,3,0,0.376,0,SAT,False,0.031,0.02,0.0,98.667,40806.667,39.85,2026-07-09T20:22:29,3
gml/BtEurope.gml,24,37,1,1,False,False,False,3,0,0.385,0,SAT,False,0.054,0.043,0.0,99.333,45042.667,43.987,2026-07-09T20:22:30,3
gml/BtLatinAmerica.gml,51,50,1,1,False,False,False,3,0,0.392,0,SAT,False,0.181,0.15,0.023,99.0,64492.0,62.983,2026-07-09T20:22:31,3
gml/BtNorthAmerica.gml,36,76,1,1,False,False,False,3,0,0.42,0,SAT,False,0.096,0.08,0.003,99.0,47302.667,46.197,2026-07-09T20:22:33,3
gml/Canerie.gml,32,41,1,1,False,False,False,3,0,0.406,0,SAT,False,0.107,0.087,0.003,99.333,52538.667,51.307,2026-07-09T20:22:34,3
gml/Carnet.gml,44,43,1,1,False,False,False,3,0,0.408,0,SAT,False,0.196,0.177,0.01,99.333,76540.0,74.747,2026-07-09T20:22:36,3
gml/Cernet.gml,41,59,1,1,False,False,False,3,0,0.39,0,SAT,False,0.153,0.133,0.013,99.333,62209.333,60.753,2026-07-09T20:22:38,3
gml/Cesnet1993.gml,10,9,1,1,False,False,False,3,0,0.39,0,SAT,False,0.014,0.0,0.0,97.333,34298.667,33.493,2026-07-09T20:22:39,3
