gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp,num_repeats
gml/Aarnet.gml,19,24,1,1,False,False,True,3,0,0.361,-9,TIMEOUT,True,10.015,,,,,,2026-07-10T00:49:31,1
gml/Abilene.gml,11,14,1,1,False,False,True,3,0,0.359,-9,TIMEOUT,True,10.014,,,,,,2026-07-10T00:49:41,1
gml/Abvt.gml,23,31,1,1,False,False,True,3,0,0.362,-9,TIMEOUT,True,10.02,,,,,,2026-07-10T00:49:52,1
gml/Aconet.gml,23,31,1,1,False,False,True,3,0,0.359,0,UNSAT,False,1.268,1.25,0.01,99,63360,61.88,2026-07-10T00:50:02,1
gml/Agis.gml,25,30,1,1,False,False,True,3,0,0.362,0,UNSAT,False,0.325,0.31,0.0,99,53592,52.34,2026-07-10T00:50:04,1
gml/Ai3.gml,10,9,1,1,False,False,True,3,0,0.371,0,UNSAT,False,0.183,0.17,0.0,100,37892,37.0,2026-07-10T00:50:04,1
gml/Airtel.gml,16,37,1,1,False,False,True,3,0,0.395,0,UNSAT,False,0.537,0.52,0.01,100,48740,47.6,2026-07-10T00:50:05,1
gml/Amres.gml,25,24,1,1,False,False,True,3,0,0.401,-9,TIMEOUT,True,10.016,,,,,,2026-07-10T00:50:06,1
gml/Ans.gml,18,25,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,10.013,,,,,,2026-07-10T00:50:16,1
gml/Arn.gml,30,29,1,1,False,False,True,3,0,0.373,-9,TIMEOUT,True,10.015,,,,,,2026-07-10T00:50:26,1
gml/Arnes.gml,34,47,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,10.028,,,,,,2026-07-10T00:50:37,1
gml/Arpanet196912.gml,4,4,1,1,False,False,True,3,0,0.365,0,UNSAT,False,0.032,0.02,0.0,96,35224,34.4,2026-07-10T00:50:47,1
gml/Arpanet19706.gml,9,10,1,1,False,False,True,3,0,0.375,-9,TIMEOUT,True,10.006,,,,,,2026-07-10T00:50:48,1
gml/Arpanet19719.gml,18,22,1,1,False,False,True,3,0,0.364,-9,TIMEOUT,True,10.012,,,,,,2026-07-10T00:50:58,1
gml/Arpanet19723.gml,25,28,1,1,False,False,True,3,0,0.382,-9,TIMEOUT,True,10.014,,,,,,2026-07-10T00:51:08,1
gml/Arpanet19728.gml,29,32,1,1,False,False,True,3,0,0.37,0,UNSAT,False,0.166,0.14,0.01,99,50008,48.84,2026-07-10T00:51:19,1
gml/AsnetAm.gml,65,79,1,1,False,False,True,3,0,0.387,-9,TIMEOUT,True,10.017,,,,,,2026-07-10T00:51:19,1
gml/Atmnet.gml,21,22,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,10.014,,,,,,2026-07-10T00:51:30,1
gml/AttMpls.gml,25,57,1,1,False,False,True,3,0,0.361,-9,TIMEOUT,True,10.015,,,,,,2026-07-10T00:51:40,1
gml/Azrena.gml,22,25,1,1,False,False,True,3,0,0.371,-9,TIMEOUT,True,10.015,,,,,,2026-07-10T00:51:51,1
gml/BackboneSerbiaMontenegro.gml,6,6,1,1,False,False,True,3,0,0.358,0,UNSAT,False,0.038,0.03,0.0,100,35172,34.35,2026-07-10T00:52:01,1
gml/Bandcon.gml,22,28,1,1,False,False,True,3,0,0.379,-9,TIMEOUT,True,10.014,,,,,,2026-07-10T00:52:01,1
gml/Basnet.gml,7,6,1,1,False,False,True,3,0,0.366,0,UNSAT,False,0.077,0.06,0.0,98,36600,35.74,2026-07-10T00:52:12,1
gml/Bbnplanet.gml,27,28,1,1,False,False,True,3,0,0.365,-9,TIMEOUT,True,10.014,,,,,,2026-07-10T00:52:12,1
gml/Bellcanada.gml,48,65,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,10.014,,,,,,2026-07-10T00:52:23,1
gml/Bellsouth.gml,51,66,1,1,False,False,True,3,0,0.375,0,UNSAT,False,1.049,1.01,0.02,99,113828,111.16,2026-07-10T00:52:33,1
gml/Belnet.gml,22,33,1,1,False,False,True,3,0,0.369,-9,TIMEOUT,True,10.016,,,,,,2026-07-10T00:52:34,1
gml/Belnet2003.gml,23,43,1,1,False,False,True,3,0,0.365,0,UNSAT,False,0.607,0.58,0.02,99,63824,62.33,2026-07-10T00:52:45,1
gml/Belnet2004.gml,23,43,1,1,False,False,True,3,0,0.368,0,UNSAT,False,0.613,0.59,0.01,99,58764,57.39,2026-07-10T00:52:46,1
gml/Belnet2005.gml,23,44,1,1,False,False,True,3,0,0.373,0,UNSAT,False,0.86,0.83,0.02,99,62756,61.29,2026-07-10T00:52:47,1
gml/Belnet2006.gml,23,44,1,1,False,False,True,3,0,0.366,0,UNSAT,False,0.853,0.83,0.01,99,62428,60.96,2026-07-10T00:52:48,1
gml/Belnet2007.gml,21,31,1,1,False,False,True,3,0,0.373,0,UNSAT,False,0.136,0.12,0.0,99,43860,42.83,2026-07-10T00:52:49,1
gml/Belnet2008.gml,21,31,1,1,False,False,True,3,0,0.364,0,UNSAT,False,0.165,0.15,0.01,100,44180,43.14,2026-07-10T00:52:50,1
gml/Belnet2009.gml,21,31,1,1,False,False,True,3,0,0.366,-9,TIMEOUT,True,10.015,,,,,,2026-07-10T00:52:50,1
gml/Belnet2010.gml,22,32,1,1,False,False,True,3,0,0.369,-9,TIMEOUT,True,10.014,,,,,,2026-07-10T00:53:01,1
