gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp,num_repeats
gml/Aarnet.gml,19,24,1,3,False,False,False,3,0,0.364,-9,TIMEOUT,True,30.037,,,,,,2026-07-09T21:27:37,3
gml/Abilene.gml,11,14,1,3,False,False,False,3,0,0.387,-9,TIMEOUT,True,30.034,,,,,,2026-07-09T21:29:08,3
gml/Abvt.gml,23,31,1,3,False,False,False,3,0,0.362,0,SAT,False,0.059,0.043,0.003,99.333,46100.0,45.02,2026-07-09T21:30:40,3
gml/Aconet.gml,23,31,1,3,False,False,False,3,0,0.365,0,SAT,False,0.244,0.223,0.007,99.667,48478.667,47.34,2026-07-09T21:30:41,3
gml/Agis.gml,25,30,1,3,False,False,False,3,0,0.364,0,SAT,False,0.061,0.04,0.007,98.667,46436.0,45.347,2026-07-09T21:30:43,3
gml/Ai3.gml,10,9,1,3,False,False,False,3,0,0.363,0,SAT,False,0.018,0.003,0.0,97.667,34942.667,34.123,2026-07-09T21:30:44,3
gml/Airtel.gml,16,37,1,3,False,False,False,3,0,0.361,0,SAT,False,0.038,0.02,0.0,99.0,39868.0,38.933,2026-07-09T21:30:45,3
gml/Amres.gml,25,24,1,3,False,False,False,3,0,0.367,0,SAT,False,0.119,0.103,0.007,99.333,58700.0,57.327,2026-07-09T21:30:46,3
gml/Ans.gml,18,25,1,3,False,False,False,3,0,0.359,0,SAT,False,0.055,0.037,0.003,100.0,43817.333,42.79,2026-07-09T21:30:48,3
gml/Arn.gml,30,29,1,3,False,False,False,3,0,0.364,0,SAT,False,0.11,0.097,0.003,100.0,57002.667,55.667,2026-07-09T21:30:49,3
gml/Arnes.gml,34,47,1,3,False,False,False,3,0,0.366,0,SAT,False,1.795,1.773,0.007,99.333,60358.667,58.94,2026-07-09T21:30:50,3
gml/Arpanet196912.gml,4,4,1,3,False,False,False,3,0,0.363,0,SAT,False,0.014,0.0,0.0,100.0,34217.333,33.413,2026-07-09T21:30:57,3
gml/Arpanet19706.gml,9,10,1,3,False,False,False,3,0,0.362,0,SAT,False,0.014,0.0,0.0,94.667,34381.333,33.577,2026-07-09T21:30:58,3
gml/Arpanet19719.gml,18,22,1,3,False,False,False,3,0,0.368,0,SAT,False,0.051,0.037,0.003,98.667,39861.333,38.927,2026-07-09T21:30:59,3
gml/Arpanet19723.gml,25,28,1,3,False,False,False,3,0,0.364,0,SAT,False,0.088,0.07,0.007,98.0,51330.667,50.127,2026-07-09T21:31:00,3
gml/Arpanet19728.gml,29,32,1,3,False,False,False,3,0,0.365,0,SAT,False,0.14,0.12,0.01,98.667,60634.667,59.21,2026-07-09T21:31:02,3
gml/AsnetAm.gml,65,79,1,3,False,False,False,3,0,0.381,0,SAT,False,2.273,2.227,0.037,99.667,157901.333,154.2,2026-07-09T21:31:03,3
gml/Atmnet.gml,21,22,1,3,False,False,False,3,0,0.363,0,SAT,False,0.061,0.047,0.003,98.0,43121.333,42.11,2026-07-09T21:31:11,3
gml/AttMpls.gml,25,57,1,3,False,False,False,3,0,0.369,0,SAT,False,0.092,0.077,0.003,98.0,51698.667,50.487,2026-07-09T21:31:13,3
gml/Azrena.gml,22,25,1,3,False,False,False,3,0,0.369,0,SAT,False,0.053,0.037,0.003,98.0,46668.0,45.577,2026-07-09T21:31:14,3
gml/BackboneSerbiaMontenegro.gml,6,6,1,3,False,False,False,3,0,0.363,0,SAT,False,0.018,0.01,0.0,100.0,34672.0,33.86,2026-07-09T21:31:15,3
gml/Bandcon.gml,22,28,1,3,False,False,False,3,0,0.376,0,SAT,False,0.067,0.053,0.0,98.667,45528.0,44.46,2026-07-09T21:31:16,3
gml/Basnet.gml,7,6,1,3,False,False,False,3,0,0.384,0,SAT,False,0.024,0.013,0.007,100.0,35089.333,34.267,2026-07-09T21:31:18,3
gml/Bbnplanet.gml,27,28,1,3,False,False,False,3,0,0.372,0,SAT,False,0.12,0.103,0.007,99.333,56594.667,55.27,2026-07-09T21:31:19,3
gml/Bellcanada.gml,48,65,1,3,False,False,False,3,0,0.374,0,SAT,False,0.712,0.677,0.027,99.333,123966.667,121.063,2026-07-09T21:31:20,3
gml/Bellsouth.gml,51,66,1,3,False,False,False,3,0,0.381,0,SAT,False,0.435,0.41,0.013,99.0,85340.0,83.34,2026-07-09T21:31:24,3
gml/Belnet.gml,22,33,1,3,False,False,False,3,0,0.379,0,SAT,False,0.053,0.033,0.007,98.667,45409.333,44.343,2026-07-09T21:31:26,3
gml/Belnet2003.gml,23,43,1,3,False,False,False,3,0,0.371,0,SAT,False,0.1,0.083,0.007,98.667,47034.667,45.93,2026-07-09T21:31:27,3
gml/Belnet2004.gml,23,43,1,3,False,False,False,3,0,0.38,0,SAT,False,0.101,0.077,0.01,99.0,47044.0,45.94,2026-07-09T21:31:29,3
gml/Belnet2005.gml,23,44,1,3,False,False,False,3,0,0.377,0,SAT,False,0.103,0.09,0.0,99.667,47074.667,45.97,2026-07-09T21:31:30,3
gml/Belnet2006.gml,23,44,1,3,False,False,False,3,0,0.377,0,SAT,False,0.102,0.083,0.007,99.667,47000.0,45.9,2026-07-09T21:31:32,3
gml/Belnet2007.gml,21,31,1,3,False,False,False,3,0,0.375,0,SAT,False,0.072,0.053,0.007,98.667,45614.667,44.543,2026-07-09T21:31:33,3
gml/Belnet2008.gml,21,31,1,3,False,False,False,3,0,0.373,0,SAT,False,0.073,0.057,0.007,99.333,45692.0,44.62,2026-07-09T21:31:34,3
gml/Belnet2009.gml,21,31,1,3,False,False,False,3,0,0.382,0,SAT,False,0.055,0.037,0.003,98.667,47840.0,46.72,2026-07-09T21:31:36,3
gml/Belnet2010.gml,22,32,1,3,False,False,False,3,0,0.384,0,SAT,False,0.053,0.033,0.01,98.0,45322.667,44.26,2026-07-09T21:31:37,3
gml/BeyondTheNetwork.gml,53,65,1,3,False,False,False,3,0,0.375,0,SAT,False,0.725,0.673,0.04,99.0,123190.667,120.303,2026-07-09T21:31:38,3
gml/Bics.gml,33,48,1,3,False,False,False,3,0,0.371,0,SAT,False,0.198,0.18,0.01,99.667,62106.667,60.65,2026-07-09T21:31:42,3
gml/Biznet.gml,29,33,1,3,False,False,False,3,0,0.366,0,SAT,False,0.131,0.11,0.01,99.333,60440.0,59.02,2026-07-09T21:31:43,3
gml/Bren.gml,37,38,1,3,False,False,False,3,0,0.373,0,SAT,False,1.732,1.707,0.013,99.0,67898.667,66.307,2026-07-09T21:31:45,3
gml/BsonetEurope.gml,18,24,1,3,False,False,False,3,0,0.368,0,SAT,False,0.05,0.033,0.007,100.0,42422.667,41.427,2026-07-09T21:31:51,3
gml/BtAsiaPac.gml,20,31,1,3,False,False,False,3,0,0.366,0,SAT,False,0.05,0.04,0.0,97.333,43796.0,42.77,2026-07-09T21:31:53,3
gml/BtEurope.gml,24,37,1,3,False,False,False,3,0,0.363,0,SAT,False,0.141,0.123,0.007,99.333,48489.333,47.357,2026-07-09T21:31:54,3
gml/BtLatinAmerica.gml,51,50,1,3,False,False,False,3,0,0.373,0,SAT,False,0.848,0.813,0.023,99.333,95777.333,93.533,2026-07-09T21:31:55,3
gml/BtNorthAmerica.gml,36,76,1,3,False,False,False,3,0,0.366,-9,TIMEOUT,True,30.035,,,,,,2026-07-09T21:31:59,3
gml/Canerie.gml,32,41,1,3,False,False,False,3,0,0.37,0,SAT,False,0.204,0.18,0.013,99.333,68946.667,67.33,2026-07-09T21:33:30,3
gml/Carnet.gml,44,43,1,3,False,False,False,3,0,0.374,0,SAT,False,0.328,0.303,0.017,99.333,76441.333,74.65,2026-07-09T21:33:32,3
gml/Cernet.gml,41,59,1,3,False,False,False,3,0,0.372,0,SAT,False,0.282,0.257,0.017,99.333,70498.667,68.843,2026-07-09T21:33:34,3
gml/Cesnet1993.gml,10,9,1,3,False,False,False,3,0,0.362,0,SAT,False,0.021,0.01,0.0,96.0,35105.333,34.283,2026-07-09T21:33:36,3
gml/Cesnet1997.gml,13,12,1,3,False,False,False,3,0,0.367,0,SAT,False,0.023,0.01,0.0,98.333,36053.333,35.207,2026-07-09T21:33:37,3
gml/Cesnet1999.gml,13,12,1,3,False,False,False,3,0,0.358,0,SAT,False,0.03,0.02,0.0,98.667,36340.0,35.49,2026-07-09T21:33:38,3
gml/Cesnet2.gml,30,42,1,3,False,False,False,3,0,0.369,0,SAT,False,0.187,0.163,0.01,99.333,54413.333,53.137,2026-07-09T21:33:39,3
gml/Cesnet2001.gml,23,23,1,3,False,False,False,3,0,0.368,0,SAT,False,0.087,0.067,0.01,98.0,44754.667,43.707,2026-07-09T21:33:41,3
gml/Cesnet200304.gml,29,33,1,3,False,False,False,3,0,0.364,0,SAT,False,0.103,0.083,0.007,99.333,52524.0,51.293,2026-07-09T21:33:42,3
gml/Cesnet200511.gml,39,44,1,3,False,False,False,3,0,0.365,0,SAT,False,0.226,0.207,0.01,99.0,56096.0,54.78,2026-07-09T21:33:44,3
gml/Cesnet200603.gml,39,44,1,3,False,False,False,3,0,0.367,0,SAT,False,0.226,0.21,0.01,99.333,56302.667,54.983,2026-07-09T21:33:46,3
gml/Cesnet200706.gml,44,51,1,3,False,False,False,3,0,0.369,0,SAT,False,0.231,0.21,0.01,99.333,68172.0,66.573,2026-07-09T21:33:47,3
gml/Cesnet201006.gml,52,63,1,3,False,False,False,3,0,0.373,0,SAT,False,0.654,0.62,0.023,100.0,99165.333,96.843,2026-07-09T21:33:49,3
gml/Chinanet.gml,42,66,1,3,False,False,False,3,0,0.371,0,SAT,False,0.235,0.213,0.01,99.333,73529.333,71.807,2026-07-09T21:33:52,3
gml/Claranet.gml,15,18,1,3,False,False,False,3,0,0.359,0,SAT,False,0.681,0.663,0.007,99.667,43813.333,42.787,2026-07-09T21:33:54,3
gml/Cogentco.gml,197,245,1,3,False,False,False,3,0,0.631,-9,TIMEOUT,True,30.142,,,,,,2026-07-09T21:33:57,3
gml/Colt.gml,153,191,1,3,False,False,False,3,0,0.518,-9,TIMEOUT,True,30.098,,,,,,2026-07-09T21:35:30,3
gml/Columbus.gml,70,85,1,3,False,False,False,3,0,0.386,0,SAT,False,2.871,2.797,0.06,99.333,267612.0,261.34,2026-07-09T21:37:01,3
gml/Compuserve.gml,14,17,1,3,False,False,False,3,0,0.366,0,SAT,False,4.559,4.537,0.01,99.0,63182.667,61.703,2026-07-09T21:37:11,3
gml/CrlNetworkServices.gml,33,38,1,3,False,False,False,3,0,0.364,0,SAT,False,0.155,0.123,0.017,98.333,64164.0,62.66,2026-07-09T21:37:26,3
gml/Cudi.gml,51,52,1,3,False,False,False,3,0,0.371,0,SAT,False,0.483,0.443,0.027,99.667,92201.333,90.04,2026-07-09T21:37:28,3
gml/Cwix.gml,36,41,1,3,False,False,False,3,0,0.365,0,SAT,False,0.141,0.123,0.007,98.667,54942.667,53.657,2026-07-09T21:37:30,3
gml/Cynet.gml,30,29,1,3,False,False,False,3,0,0.37,0,SAT,False,0.554,0.523,0.013,99.333,56762.667,55.433,2026-07-09T21:37:32,3
gml/Darkstrand.gml,28,31,1,3,False,False,False,3,0,0.366,0,SAT,False,0.119,0.1,0.007,99.333,59172.0,57.787,2026-07-09T21:37:34,3
gml/Dataxchange.gml,6,11,1,3,False,False,False,3,0,0.358,0,SAT,False,0.024,0.01,0.0,96.667,35105.333,34.283,2026-07-09T21:37:36,3
gml/Deltacom.gml,113,183,1,3,False,False,False,3,0,0.431,0,SAT,False,16.928,16.723,0.193,99.333,707608.0,691.027,2026-07-09T21:37:37,3
gml/DeutscheTelekom.gml,39,62,1,3,False,False,False,3,0,0.368,0,SAT,False,0.314,0.287,0.013,99.333,67542.667,65.96,2026-07-09T21:38:29,3
gml/DeutscheTelekomIpTransitIpPopsOnly.gml,39,62,1,3,False,False,False,3,0,0.37,0,SAT,False,0.105,0.08,0.01,99.0,63578.667,62.09,2026-07-09T21:38:31,3
gml/Dfn.gml,58,87,1,3,False,False,False,3,0,0.38,0,SAT,False,3.043,2.997,0.033,99.667,142040.0,138.713,2026-07-09T21:38:33,3
